Name,Description,Source
stations,Environmental monitoring facility,
station,Facility set,
update,Resource update,
deletion,Resource deletion,
items,Items/data granules (from OGC 17-069r4),https://docs.ogc.org/is/17-069r4/17-069r4.html#_link_relations
data,Data (from OGC 17-069r4),https://docs.ogc.org/is/17-069r4/17-069r4.html#_link_relations
