filename,name,url(codes.wmo.int)
contact-role,contact-role,http://codes.wmo.int/wis2/contact-role
global-service-type,global-service-type,http://codes.wmo.int/wis2/global-service-type
link-type,link-type,http://codes.wmo.int/wis2/link-type
resource-type,resource-type,http://codes.wmo.int/wis2/resource-type
