Name,Description,Source
experimental,This is used to describe data that belongs to a development and production chain that provides operational data. It is the first step in the process of becoming operational,https://vocab.met.no/mmd/en/page/?uri=https%3A%2F%2Fvocab.met.no%2Fmmd%2FOperational_Status%2FExperimental
not-available,This is used when information on the operational status is not available or not provided,https://vocab.met.no/mmd/en/page/?uri=https%3A%2F%2Fvocab.met.no%2Fmmd%2FOperational_Status%2FNotAvailable
operational,This is used to tag datasets that are continuously being evaluated and validated. The production of the data is under the responsibility of an authority and follows a review and documentation process. Operational data are generated on a continuous basis with a temporal perspective,https://vocab.met.no/mmd/en/page/?uri=https%3A%2F%2Fvocab.met.no%2Fmmd%2FOperational_Status%2FOperational
pre-operational,"This is used to describe data that are under review for becoming the next operational delivery. It is usually produced continuously, but not necessarily distributed to users not specifically. It covers the intermediate step between Experimental and Operational",https://vocab.met.no/mmd/en/page/?uri=https%3A%2F%2Fvocab.met.no%2Fmmd%2FOperational_Status%2FPre-Operational
scientific,"This is used to describe purely scientific products, i.e. products generated through scientific projects and usually with a limited temporal perspective",https://vocab.met.no/mmd/en/page/?uri=https%3A%2F%2Fvocab.met.no%2Fmmd%2FOperational_Status%2FScientific
