Name,Description,Comments
core,Data that Members shall exchange on a free and unrestricted basis to underpin the services they provide for the protection of life and property and for the well-being of all nations,
recommended,Data that should also be exchanged by Members to support Earth system monitoring and prediction efforts. Conditions may be placed on the use of recommended data,
other,Data identified for global distribution via WIS that is not covered by WMO Unified Data Policy. Conditions may apply,
